Time 	Number 
0	1
2.5	0.961
5	1.011
7.5	0.977
10	1.113
12.5	1.443
15	1.488
17.5	1.786
20	1.663
22.5	1.678
25	1.858
27.5	1.976
30	2.167
32.5	2.442
35	2.729
37.5	2.878
40	3.153
42.5	3.36
45	3.745
47.5	4.047
50	4.455
52.5	4.877
55	5.386
57.5	5.992
60	6.785
62.5	7.785
65	8.598
67.5	9.52
70	10.593
72.5	11.816
75	13.078
77.5	14.45
80	16.015
82.5	17.414
85	19.132
87.5	21.384
90	23.565
